status_id,status_message,link_name,status_type,"status,_link",status_published,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7331091005_10154110000000010,"""Kyrie Irving makes franchise history with a record-breaking night. (via Twitter)""","""Kyrie Irving update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000010,2016/06/01 08:50,24672,44679,27479,22930,31240,31879,10677,8251
7331091005_10154110000000011,"""Russell Westbrook will likely be the No. 1 pick of the NBA Draft, but who should it be? (via Twitter)""","""Russell Westbrook update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000011,"June 01, 2016 08:55",38621,12859,30358,23038,18042,36672,13304,27266
7331091005_10154110000000012,"""James Harden addresses rumors in a candid interview. (via NBA TV)""","""James Harden update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000012,2016/06/01 09:00,36308,49141,5054,33242,36979,26703,2456,41756
7331091005_10154110000000013,"""Ben Simmons just dropped a triple-double, and the crowd went crazy. (via NBA TV)""","""Ben Simmons update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000013,2016-06-01 10:10:00,9554,25421,42421,22724,25588,24571,42050,45950
7331091005_10154110000000014,"""Stephen Curry will likely be the No. 1 pick of the NBA Draft, but who should it be? (reportedly)""","""Stephen Curry update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000014,2016-06-01 09:38:00,27253,44797,20360,44807,42645,15204,21916,20943
7331091005_10154110000000015,"""Russell Westbrook is drawing interest from multiple teams, according to reports. (reportedly)""","""Russell Westbrook update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000015,2016-06-01 09:45:00,25224,41796,20409,12131,49602,3865,33634,18351
7331091005_10154110000000016,"""Kevin Durant just dropped a triple-double, and the crowd went crazy. (via ESPN)""","""Kevin Durant update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000016,"June 01, 2016 10:24",28784,5225,44848,47776,30013,36428,21828,45096
7331091005_10154110000000017,"""Derrick Rose opts out of his contract, testing free agency this summer. (via Twitter)""","""Derrick Rose update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000017,"June 01, 2016 08:51",29863,7481,32315,20273,42350,39396,27791,16927
7331091005_10154110000000018,"""Derrick Rose addresses rumors in a candid interview. (sources say)""","""Derrick Rose update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000018,2016-06-01 11:18:00,6132,6104,18175,27077,1597,15046,28849,37809
7331091005_10154110000000019,"""Russell Westbrook was traded last night, and fans are still reacting. (via NBA TV)""","""Russell Westbrook update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000019,2016/06/01 10:51,44339,19974,36692,13967,34585,19096,30304,25402
7331091005_10154110000000020,"""LeBron James delivers a clutch performance in the final minutes. (via ESPN)""","""LeBron James update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000020,2016/06/01 10:00,28647,9257,23892,10295,35604,34781,36438,42655
7331091005_10154110000000021,"""Russell Westbrook leads his team to a huge comeback win, silencing critics. (via ESPN)""","""Russell Westbrook update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000021,2016-06-01 10:48:00,22756,29461,28789,16802,16137,3359,11605,41147
7331091005_10154110000000022,"""Kyrie Irving just dropped a triple-double, and the crowd went crazy. (via Twitter)""","""Kyrie Irving update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000022,2016/06/01 09:28,4170,12574,15302,474,5517,24756,22540,11140
7331091005_10154110000000023,"""Kyrie Irving will likely be the No. 1 pick of the NBA Draft, but who should it be? (via ESPN)""","""Kyrie Irving update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000023,2016-06-01 11:04:00,16800,26398,11038,26144,28065,43740,34149,22780
7331091005_10154110000000024,"""James Harden delivers a clutch performance in the final minutes. (reportedly)""","""James Harden update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000024,2016/06/01 10:00,47856,47232,40713,40983,43772,43424,16495,5122
7331091005_10154110000000025,"""James Harden is drawing interest from multiple teams, according to reports. (sources say)""","""James Harden update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000025,2016/06/01 13:50,16795,38490,44890,43092,15766,29279,44450,24496
7331091005_10154110000000026,"""Chris Paul just dropped a triple-double, and the crowd went crazy. (via NBA TV)""","""Chris Paul update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000026,2016-06-01 11:02:00,19431,9051,30250,48521,42648,31647,3954,33855
7331091005_10154110000000027,"""Stephen Curry will likely be the No. 1 pick of the NBA Draft, but who should it be? (sources say)""","""Stephen Curry update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000027,"June 01, 2016 13:24",24077,16815,26850,12421,12779,6839,8969,38025
7331091005_10154110000000028,"""James Harden suffers an injury ahead of the playoffs, sources say. (via Twitter)""","""James Harden update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000028,"June 01, 2016 13:08",28488,615,3524,19626,40198,3885,46206,6108
7331091005_10154110000000029,"""Stephen Curry suffers an injury ahead of the playoffs, sources say. (reportedly)""","""Stephen Curry update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000029,2016/06/01 13:19,10276,30826,3728,20432,5982,3409,36441,39597
7331091005_10154110000000030,"""Ben Simmons addresses rumors in a candid interview. (via NBA TV)""","""Ben Simmons update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000030,"June 01, 2016 10:00",14174,15703,27396,33356,40116,38587,34231,36088
7331091005_10154110000000031,"""Derrick Rose leads his team to a huge comeback win, silencing critics. (via Twitter)""","""Derrick Rose update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000031,2016/06/01 10:04,17307,8284,23416,11495,18776,17757,16246,15647
7331091005_10154110000000032,"""Kyrie Irving will likely be the No. 1 pick of the NBA Draft, but who should it be? (via Twitter)""","""Kyrie Irving update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000032,2016/06/01 13:52,18332,4357,32274,15569,31888,1319,29345,21547
7331091005_10154110000000033,"""Kawhi Leonard is drawing interest from multiple teams, according to reports. (via NBA TV)""","""Kawhi Leonard update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000033,"June 01, 2016 11:18",44513,517,35028,33929,40600,29844,16367,5236
7331091005_10154110000000034,"""LeBron James leads his team to a huge comeback win, silencing critics. (sources say)""","""LeBron James update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000034,2016-06-01 11:58:00,4123,30524,25035,43655,5165,10941,10243,346
7331091005_10154110000000035,"""Chris Paul will likely be the No. 1 pick of the NBA Draft, but who should it be? (via Twitter)""","""Chris Paul update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000035,"June 01, 2016 12:40",40889,23377,48560,31768,43974,26015,25118,6771
7331091005_10154110000000036,"""Ben Simmons makes franchise history with a record-breaking night. (via Twitter)""","""Ben Simmons update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000036,2016/06/01 11:36,10060,13473,26786,40334,39783,32501,6807,5862
7331091005_10154110000000037,"""LeBron James was traded last night, and fans are still reacting. (via ESPN)""","""LeBron James update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000037,2016/06/01 11:05,18427,13347,34449,6879,17172,49168,47435,18786
7331091005_10154110000000038,"""LeBron James leads his team to a huge comeback win, silencing critics. (via ESPN)""","""LeBron James update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000038,2016/06/01 16:14,47990,18760,25750,46778,8152,30530,22207,41798
7331091005_10154110000000039,"""Russell Westbrook opts out of his contract, testing free agency this summer. (via NBA TV)""","""Russell Westbrook update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000039,"June 01, 2016 13:12",35756,11969,37662,27335,22055,44902,5032,3945
7331091005_10154110000000040,"""Ben Simmons will likely be the No. 1 pick of the NBA Draft, but who should it be? (via NBA TV)""","""Ben Simmons update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000040,2016/06/01 13:20,9067,18902,17739,13157,27964,11342,30328,27085
7331091005_10154110000000041,"""Kevin Durant addresses rumors in a candid interview. (via Twitter)""","""Kevin Durant update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000041,2016-06-01 18:15:00,38278,5450,20773,28108,35455,47536,19637,21433
7331091005_10154110000000042,"""Ben Simmons suffers an injury ahead of the playoffs, sources say. (via NBA TV)""","""Ben Simmons update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000042,"June 01, 2016 10:48",39395,39627,20831,14537,32887,11301,40027,45128
7331091005_10154110000000043,"""Derrick Rose just dropped a triple-double, and the crowd went crazy. (via ESPN)""","""Derrick Rose update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000043,"June 01, 2016 10:09",23915,47042,14444,45235,47289,21945,45998,7783
7331091005_10154110000000044,"""LeBron James is drawing interest from multiple teams, according to reports. (via ESPN)""","""LeBron James update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000044,2016-06-01 19:00:00,12200,12030,44181,38617,8297,22660,258,19961
7331091005_10154110000000045,"""Kawhi Leonard just dropped a triple-double, and the crowd went crazy. (sources say)""","""Kawhi Leonard update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000045,2016-06-01 10:15:00,47265,42338,15509,12313,34965,15778,15503,48084
7331091005_10154110000000046,"""LeBron James was traded last night, and fans are still reacting. (reportedly)""","""LeBron James update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000046,2016-06-01 11:04:00,17810,35837,15649,31355,42229,35394,12970,45149
7331091005_10154110000000047,"""James Harden just dropped a triple-double, and the crowd went crazy. (via ESPN)""","""James Harden update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000047,2016-06-01 11:55:00,45730,39338,3426,23379,6460,26456,33009,31558
7331091005_10154110000000048,"""Chris Paul leads his team to a huge comeback win, silencing critics. (reportedly)""","""Chris Paul update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000048,2016-06-01 13:36:00,16919,43966,15858,10071,11789,35845,38014,42789
7331091005_10154110000000049,"""James Harden delivers a clutch performance in the final minutes. (sources say)""","""James Harden update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000049,2016-06-01 18:37:00,46632,34188,4142,11768,25858,12398,28091,37531
7331091005_10154110000000050,"""James Harden opts out of his contract, testing free agency this summer. (sources say)""","""James Harden update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000050,2016-06-01 13:00:00,35485,6411,1104,29732,34434,414,42524,39964
7331091005_10154110000000051,"""LeBron James delivers a clutch performance in the final minutes. (sources say)""","""LeBron James update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000051,2016/06/01 13:06,46934,24164,27799,7208,49517,4350,8890,38923
7331091005_10154110000000052,"""LeBron James leads his team to a huge comeback win, silencing critics. (reportedly)""","""LeBron James update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000052,2016/06/01 11:28,19168,22050,49553,21941,25445,40743,26062,47059
7331091005_10154110000000053,"""James Harden is drawing interest from multiple teams, according to reports. (via NBA TV)""","""James Harden update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000053,"June 01, 2016 16:50",2282,5849,6857,10661,19720,29945,39370,13865
7331091005_10154110000000054,"""James Harden was traded last night, and fans are still reacting. (reportedly)""","""James Harden update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000054,"June 01, 2016 20:36",29666,22202,20582,13767,42335,41067,192,6608
7331091005_10154110000000055,"""Russell Westbrook makes franchise history with a record-breaking night. (reportedly)""","""Russell Westbrook update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000055,2016-06-01 12:35:00,35434,34752,41569,21093,29044,22672,25438,2191
7331091005_10154110000000056,"""Kawhi Leonard suffers an injury ahead of the playoffs, sources say. (via NBA TV)""","""Kawhi Leonard update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000056,2016-06-01 16:24:00,37444,21925,12362,3708,25372,1810,416,8871
7331091005_10154110000000057,"""Kawhi Leonard suffers an injury ahead of the playoffs, sources say. (via ESPN)""","""Kawhi Leonard update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000057,"June 01, 2016 17:30",39714,30840,38925,12242,174,26580,35762,47151
7331091005_10154110000000058,"""Stephen Curry was traded last night, and fans are still reacting. (sources say)""","""Stephen Curry update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000058,"June 01, 2016 13:48",831,31356,15991,6988,19532,49018,16164,27586
7331091005_10154110000000059,"""LeBron James delivers a clutch performance in the final minutes. (reportedly)""","""LeBron James update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000059,"June 01, 2016 10:57",31523,42555,28362,41265,18943,39235,28514,29453
7331091005_10154110000000060,"""Kevin Durant makes franchise history with a record-breaking night. (via Twitter)""","""Kevin Durant update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000060,2016/06/01 22:00,28688,38581,22664,33291,44077,13326,17194,17957
7331091005_10154110000000061,"""Chris Paul suffers an injury ahead of the playoffs, sources say. (reportedly)""","""Chris Paul update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000061,"June 01, 2016 18:10",34738,18393,29256,6905,569,47253,43788,29539
7331091005_10154110000000062,"""Kawhi Leonard was traded last night, and fans are still reacting. (via Twitter)""","""Kawhi Leonard update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000062,2016/06/01 12:08,39330,36273,1190,9084,10306,30359,39340,9521
7331091005_10154110000000063,"""James Harden opts out of his contract, testing free agency this summer. (reportedly)""","""James Harden update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000063,2016/06/01 15:21,35952,24757,38004,23603,6003,17495,38808,22873
7331091005_10154110000000064,"""James Harden suffers an injury ahead of the playoffs, sources say. (via Twitter)""","""James Harden update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000064,2016/06/01 11:12,34029,9119,16022,37598,28695,14257,17827,14934
7331091005_10154110000000065,"""Stephen Curry leads his team to a huge comeback win, silencing critics. (via ESPN)""","""Stephen Curry update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000065,2016/06/01 17:45,44578,21237,4714,16722,15069,46976,30234,543
7331091005_10154110000000066,"""Kyrie Irving suffers an injury ahead of the playoffs, sources say. (via Twitter)""","""Kyrie Irving update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000066,"June 01, 2016 11:18",9199,14214,4170,33768,27905,23425,18686,24812
7331091005_10154110000000067,"""Russell Westbrook will likely be the No. 1 pick of the NBA Draft, but who should it be? (via ESPN)""","""Russell Westbrook update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000067,"June 01, 2016 15:49",9991,22600,37594,16948,946,40486,26805,48593
7331091005_10154110000000068,"""Russell Westbrook is drawing interest from multiple teams, according to reports. (via ESPN)""","""Russell Westbrook update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000068,"June 01, 2016 12:32",45614,16200,6355,47021,10228,31384,23190,24918
7331091005_10154110000000069,"""Kyrie Irving is drawing interest from multiple teams, according to reports. (via NBA TV)""","""Kyrie Irving update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000069,2016/06/01 22:57,13116,37747,35959,41736,28529,34260,25880,39060
7331091005_10154110000000070,"""Kevin Durant will likely be the No. 1 pick of the NBA Draft, but who should it be? (via NBA TV)""","""Kevin Durant update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000070,2016-06-01 19:40:00,13842,8055,40780,32437,10329,31736,20850,42448
7331091005_10154110000000071,"""Kyrie Irving opts out of his contract, testing free agency this summer. (sources say)""","""Kyrie Irving update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000071,2016-06-01 21:01:00,49859,19484,4683,42911,16760,16039,28022,5537
7331091005_10154110000000072,"""Kawhi Leonard suffers an injury ahead of the playoffs, sources say. (via Twitter)""","""Kawhi Leonard update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000072,2016-06-01 22:24:00,41664,13931,34553,48754,34279,29814,10358,16894
7331091005_10154110000000073,"""Kawhi Leonard opts out of his contract, testing free agency this summer. (reportedly)""","""Kawhi Leonard update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000073,2016-06-01 23:49:00,29954,33930,30964,22474,31947,30337,29162,30001
7331091005_10154110000000074,"""Kevin Durant delivers a clutch performance in the final minutes. (via ESPN)""","""Kevin Durant update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000074,2016-06-01 11:42:00,26816,10408,32839,28439,49847,10033,29276,5723
7331091005_10154110000000075,"""Kawhi Leonard makes franchise history with a record-breaking night. (reportedly)""","""Kawhi Leonard update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000075,2016-06-01 23:00:00,12088,38595,7008,20832,37653,37405,47268,264
7331091005_10154110000000076,"""Stephen Curry delivers a clutch performance in the final minutes. (via Twitter)""","""Stephen Curry update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000076,2016/06/01 13:04,38201,19511,16592,16662,45014,43209,23354,42218
7331091005_10154110000000077,"""Ben Simmons suffers an injury ahead of the playoffs, sources say. (reportedly)""","""Ben Simmons update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000077,2016/06/01 19:33,24162,6893,43457,2651,7875,40195,30258,8003
7331091005_10154110000000078,"""Russell Westbrook was traded last night, and fans are still reacting. (reportedly)""","""Russell Westbrook update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000078,"June 01, 2016 21:00",14331,43925,15380,3729,21954,15952,2315,22763
7331091005_10154110000000079,"""Ben Simmons makes franchise history with a record-breaking night. (via Twitter)""","""Ben Simmons update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000079,2016/06/01 23:48,14882,43687,16572,43380,4168,2303,13330,1934
7331091005_10154110000000080,"""Derrick Rose will likely be the No. 1 pick of the NBA Draft, but who should it be? (sources say)""","""Derrick Rose update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000080,"June 01, 2016 18:40",18062,31642,14417,27366,34489,40379,38815,23619
7331091005_10154110000000081,"""James Harden leads his team to a huge comeback win, silencing critics. (sources say)""","""James Harden update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000081,2016-06-01 20:09:00,31363,4387,19732,3590,39912,1097,45814,28726
7331091005_10154110000000082,"""James Harden leads his team to a huge comeback win, silencing critics. (via ESPN)""","""James Harden update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000082,"June 02, 2016 04:30",49809,1459,12627,4727,10025,25215,45220,20041
7331091005_10154110000000083,"""James Harden suffers an injury ahead of the playoffs, sources say. (sources say)""","""James Harden update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000083,"June 01, 2016 16:18",2311,16756,19427,16229,22850,31048,9537,9441
7331091005_10154110000000084,"""Kyrie Irving just dropped a triple-double, and the crowd went crazy. (via NBA TV)""","""Kyrie Irving update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000084,2016/06/02 00:48,1518,31693,6821,42497,17448,38165,9152,18637
7331091005_10154110000000085,"""Chris Paul just dropped a triple-double, and the crowd went crazy. (via NBA TV)""","""Chris Paul update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000085,"June 01, 2016 17:55",12243,35950,21882,32248,37861,41239,24977,48173
7331091005_10154110000000086,"""Chris Paul opts out of his contract, testing free agency this summer. (via Twitter)""","""Chris Paul update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000086,2016-06-02 02:38:00,46537,1397,35109,113,12157,38079,46162,31838
7331091005_10154110000000087,"""Kevin Durant will likely be the No. 1 pick of the NBA Draft, but who should it be? (via ESPN)""","""Kevin Durant update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000087,2016-06-01 22:30:00,22451,39263,45350,19722,48753,30699,46743,12139
7331091005_10154110000000088,"""Kawhi Leonard suffers an injury ahead of the playoffs, sources say. (sources say)""","""Kawhi Leonard update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000088,2016-06-02 00:08:00,46965,32254,23126,32088,35983,3582,2276,25485
7331091005_10154110000000089,"""Chris Paul opts out of his contract, testing free agency this summer. (reportedly)""","""Chris Paul update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000089,"June 01, 2016 12:27",27923,12406,4212,30298,35839,42409,48610,40302
7331091005_10154110000000090,"""Kevin Durant will likely be the No. 1 pick of the NBA Draft, but who should it be? (via Twitter)""","""Kevin Durant update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000090,2016/06/01 20:00,40709,35983,41724,13417,33374,650,20369,25539
7331091005_10154110000000091,"""Derrick Rose addresses rumors in a candid interview. (via NBA TV)""","""Derrick Rose update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000091,"June 02, 2016 00:41",49904,10619,20625,34474,35566,28584,26841,2840
7331091005_10154110000000092,"""Chris Paul will likely be the No. 1 pick of the NBA Draft, but who should it be? (sources say)""","""Chris Paul update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000092,2016-06-02 00:52:00,5774,41481,32869,44997,28428,21598,6071,45859
7331091005_10154110000000093,"""Kyrie Irving is drawing interest from multiple teams, according to reports. (sources say)""","""Kyrie Irving update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000093,2016-06-02 07:15:00,9973,25794,13908,30523,21982,34110,24681,26541
7331091005_10154110000000094,"""James Harden was traded last night, and fans are still reacting. (reportedly)""","""James Harden update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000094,2016/06/01 18:58,30228,47993,11044,19055,5850,19826,2894,35236
7331091005_10154110000000095,"""LeBron James addresses rumors in a candid interview. (via Twitter)""","""LeBron James update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000095,2016-06-01 12:45:00,48117,44505,23276,91,22725,18279,42094,38292
7331091005_10154110000000096,"""Kyrie Irving just dropped a triple-double, and the crowd went crazy. (via Twitter)""","""Kyrie Irving update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000096,"June 01, 2016 20:48",43734,20709,21586,48949,27742,36210,43994,46047
7331091005_10154110000000097,"""Kevin Durant suffers an injury ahead of the playoffs, sources say. (via ESPN)""","""Kevin Durant update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000097,2016/06/02 05:01,10786,23312,17699,18075,17281,11610,22644,42347
7331091005_10154110000000098,"""Kawhi Leonard makes franchise history with a record-breaking night. (sources say)""","""Kawhi Leonard update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000098,"June 02, 2016 03:36",279,42898,45648,34632,48422,2906,8266,15321
7331091005_10154110000000099,"""Ben Simmons leads his team to a huge comeback win, silencing critics. (via Twitter)""","""Ben Simmons update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000099,"June 01, 2016 14:36",45701,29138,31955,27604,4491,27515,15263,19409
7331091005_10154110000000100,"""Kevin Durant is drawing interest from multiple teams, according to reports. (via NBA TV)""","""Kevin Durant update, breaking news""",photo,https://www.facebook.com/bleacherreport/posts/10154110000000100,2016-06-02 07:20:00,40939,19228,21240,14013,26537,45681,29251,23941
7331091005_10154110000000101,"""Russell Westbrook will likely be the No. 1 pick of the NBA Draft, but who should it be? (sources say)""","""Russell Westbrook update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000101,2016-06-02 04:12:00,46779,10400,33828,29092,28836,15498,31193,549
7331091005_10154110000000102,"""Kyrie Irving leads his team to a huge comeback win, silencing critics. (via ESPN)""","""Kyrie Irving update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000102,2016/06/02 02:42,44788,963,38228,35299,22817,21980,32892,49062
7331091005_10154110000000103,"""Kevin Durant leads his team to a huge comeback win, silencing critics. (reportedly)""","""Kevin Durant update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000103,"June 02, 2016 08:02",33305,739,36018,29374,42370,47121,38055,26947
7331091005_10154110000000104,"""Kawhi Leonard is drawing interest from multiple teams, according to reports. (via Twitter)""","""Kawhi Leonard update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000104,2016-06-02 03:04:00,41498,28052,20220,19638,10325,6320,42332,20606
7331091005_10154110000000105,"""Derrick Rose is drawing interest from multiple teams, according to reports. (via ESPN)""","""Derrick Rose update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000105,"June 01, 2016 18:30",2270,32177,32729,26030,27595,934,6572,30083
